id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,start_datetime_ist,effective_end_datetime,duration_minutes,reason
FKID000002,unplanned,12.955622,77.5857083,0.0,0.0,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",,others,False,2023-11-11 06:18:03.343000+00:00,,closed,yes,2024-01-30 04:56:03.282003+00,,,ಊರ್ವಶಿ ಜಂಕ್ಷನ್ ನಲ್ಲಿ ಒಳಚರಂಡಿ ಚೇಂಬರ್ ಗೆ ಹೊಸದಾಗಿ ಸಿಮೆಂಟ್ ಹಾಕಿದ್ದು ಟ್ರಾಫಿಕ್ ಮೂವ್ಮೆಂಟ್ ಸ್ವಲ್ಪ ನಿಧಾನಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್🙏,,,Non-corridor,Low,,,,2023-11-11 06:20:00.989398+00,,1,FKUSR00003,FKUSR00001,,,,Wilson Garden,,FKKG000002,,,,FKUSR00003,2024-01-30 04:56:03.281509+00:00,,,Bengaluru Central Corporation,Central Zone 2,UrvashiJunction,2023-11-11 11:48:03.343000+05:30,2024-01-30 04:56:03.281509+00:00,115117.99897515001,Unplanned duration exceeds 24 hours (115118.00 mins)
FKID000003,unplanned,13.0061469,77.5794348,13.0062394,77.5795156,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)","Sankey Road, Palace Orchard Upper, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",tree_fall,True,2024-03-07 17:56:55.061000+00:00,,closed,yes,2024-03-14 07:42:05.55005+00,,,tree fall,,,Non-corridor,Low,,,,2024-03-07 17:58:56.696892+00,,1,FKUSR00004,FKUSR00001,,,,Sadashivanagar,,FKKG000003,,,,FKUSR00004,2024-03-14 07:42:05.549440+00:00,,,,,,2024-03-07 23:26:55.061000+05:30,2024-03-14 07:42:05.549440+00:00,9465.174807333333,Unplanned duration exceeds 24 hours (9465.17 mins)
FKID000007,unplanned,12.973175,77.6003961,0.0,0.0,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,others,False,2024-01-30 06:05:59.339000+00:00,,closed,yes,2024-02-16 01:28:18.331081+00,,,ಕಾಫಿ ಡೇ ಇಂದ ರೋಟರಿ ಸರ್ಕಲ್ ವರೆಗೆ ಬಿ ಡಬ್ಲ್ಯೂ ಎಸ್ ಎಸ್ ಬಿ ವರ್ಕ್ ನಡೆಯುತ್ತಿರುತ್ತದೆ ಟ್ರಾಫಿಕ್ ಗೆ ಯಾವುದೇ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ,,,Non-corridor,Low,,,,2024-01-30 06:08:11.015846+00,,1,FKUSR00008,FKUSR00001,,,,Cubbon Park,,FKKG000005,,,,FKUSR00008,2024-02-16 01:28:18.330429+00:00,,,,,,2024-01-30 11:35:59.339000+05:30,2024-02-16 01:28:18.330429+00:00,24202.316523816666,Unplanned duration exceeds 24 hours (24202.32 mins)
FKID000008,planned,12.97883573,77.59953728,,,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",,public_event,False,,2024-02-12 14:05:46+00:00,closed,yes,2024-02-12 14:05:46.017066+00,,,"Cricket Match at M Chinnaswamy Satdium, [LOCATION].",,,CBD 2,High,,,,2024-01-30 05:09:41.077868+00,[],1,FKUSR00009,FKUSR00009,,,,Cubbon Park,,,,,,,,,,,,QueensStatueCircle,,2024-02-12 14:05:46+00:00,,Missing start_datetime
FKID000010,unplanned,13.0008457,77.6813712,0.0,0.0,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",,water_logging,False,2024-03-07 18:01:40.182000+00:00,,closed,yes,2024-03-14 05:49:58.161494+00,,,woter logging [PERSON] moment ph [PHONE],,,ORR East 2,High,,,,2024-03-07 18:02:16.983926+00,,1,FKUSR00011,FKUSR00001,,,,K.R. Pura,,FKKG000007,,,,FKUSR00011,2024-03-14 05:49:58.160945+00:00,,,,,,2024-03-07 23:31:40.182000+05:30,2024-03-14 05:49:58.160945+00:00,9348.299649083334,Unplanned duration exceeds 24 hours (9348.30 mins)
FKID000013,unplanned,13.0418933,77.594705,0.0,0.0,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",,others,False,2023-12-26 19:15:28.124000+00:00,,closed,yes,2024-03-07 19:10:20.40342+00,,,Starting problem,,,ORR North 1,High,,,,2023-12-26 19:16:09.549364+00,,1,FKUSR00013,FKUSR00001,,,,Hebbala,,FKKG000009,,,,FKUSR00013,2024-03-07 19:10:20.402869+00:00,,,Bengaluru North Corporation,North Zone 1,HebbalFlyoverJunc,2023-12-27 00:45:28.124000+05:30,2024-03-07 19:10:20.402869+00:00,103674.87131448333,Unplanned duration exceeds 24 hours (103674.87 mins)
FKID000021,unplanned,12.927375,77.5806883,12.9273528,77.580685,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)","5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",tree_fall,True,2024-03-07 19:45:16.034000+00:00,,closed,yes,2024-03-09 20:33:47.283363+00,,,,,,Non-corridor,Low,,,,2024-03-07 19:47:58.459881+00,,1,FKUSR00019,FKUSR00001,,,,Jayanagara,,FKKG000015,,,,FKUSR00019,2024-03-09 20:33:47.282786+00:00,,,,,,2024-03-08 01:15:16.034000+05:30,2024-03-09 20:33:47.282786+00:00,2928.5208131000004,Unplanned duration exceeds 24 hours (2928.52 mins)
FKID000022,unplanned,12.9169074,77.5950955,0.0,0.0,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",,pot_holes,False,2024-01-05 22:35:41.185000+00:00,,closed,yes,2024-03-07 19:48:05.331866+00,,,,,,Non-corridor,Low,,,,2024-01-05 22:36:57.627179+00,,1,FKUSR00019,FKUSR00001,,,,Jayanagara,,FKKG000015,,,,FKUSR00019,2024-03-07 19:48:05.331210+00:00,,,Bengaluru South Corporation,South Zone 1,28thMainJayanagarJunc,2024-01-06 04:05:41.185000+05:30,2024-03-07 19:48:05.331210+00:00,89112.40243683333,Unplanned duration exceeds 24 hours (89112.40 mins)
FKID000033,unplanned,12.92757,77.5832051,0.0,0.0,"9th Main Road, Geeta Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",,tree_fall,False,2024-03-07 20:06:03.523000+00:00,,closed,yes,2024-03-09 20:33:44.935916+00,,,,,,Non-corridor,Low,,,,2024-03-07 20:06:37.915099+00,,1,FKUSR00019,FKUSR00001,,,,Jayanagara,,FKKG000015,,,,FKUSR00019,2024-03-09 20:33:44.935343+00:00,,,,,,2024-03-08 01:36:03.523000+05:30,2024-03-09 20:33:44.935343+00:00,2907.6902057166667,Unplanned duration exceeds 24 hours (2907.69 mins)
FKID000039,unplanned,12.9666597,77.661556,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,False,2024-01-30 08:37:16.322000+00:00,2024-01-30 05:38:46+00:00,active,yes,2024-01-30 08:43:58.647514+00,,,Pc18977,,,,Low,,,,2024-01-30 08:40:15.935486+00,,1,FKUSR00020,FKUSR00001,,,,Jeevanbheemanagar,,FKKG000016,,,,,,,,,,,2024-01-30 14:07:16.322000+05:30,2024-01-30 05:38:46+00:00,-178.50536666666667,Negative duration (-178.51 mins)
